line,page,dates,month,day,year,time,plot,mass,svl,tl,sex,gravid,group,clutch,color,recap,mark,id,damage
1608,53,11/8/08,11,8,2008,N,5,0.106,18,22,UI,N,UI,NA,R,NA,NA,NA,Y
514,17,6/4/08,6,4,2008,N,3,0.109,18,29,UI,N,UI,NA,R,NA,NA,322,N
561,18,6/5/08,6,5,2008,N,7,0.11,18,31,UI,N,UI,NA,R,NA,NA,358,N
497,16,6/4/08,6,4,2008,N,9,0.111,18,27,UI,N,UI,NA,R,NA,NA,295,N
248,8,5/31/08,5,31,2008,N,5,0.114,18,23,UI,N,UI,NA,R,NA,NA,90,Y
1318,43,10/1/08,10,1,2008,N,7,0.122,18,30,UI,N,UI,NA,R,NA,NA,NA,N
2237,72,5/14/09,5,14,2009,N,5,NA,18,25,UI,N,UI,NA,R,NA,NA,1565,Y
200,7,5/22/08,5,22,2008,D,9,0.086,19,29,UI,N,UI,NA,R,NA,NA,45,N
173,6,5/22/08,5,22,2008,D,4,0.086,19,30,UI,N,UI,NA,R,NA,NA,19,N
2163,70,5/9/09,5,9,2009,N,5,0.089,19,26,UI,N,UI,NA,R,NA,NA,NA,N
1499,49,11/1/08,11,1,2008,D,9,0.097,19,33,UI,N,UI,NA,R,NA,NA,1129,N
1535,50,11/6/08,11,6,2008,N,5,0.099,19,30,UI,N,UI,NA,R,NA,NA,1150,N
162,6,5/21/08,5,21,2008,N,3,0.1,19,33,UI,N,UI,NA,R,NA,NA,12,N
1714,56,4/21/09,4,21,2009,N,3,0.101,19,31,UI,N,UI,NA,R,NA,NA,1242,N
1671,54,11/15/08,11,15,2008,N,4,0.102,19,31,UI,N,UI,NA,R,NA,NA,1199,N
1533,50,11/6/08,11,6,2008,N,4,0.102,19,31,UI,N,UI,NA,R,NA,NA,1148,N
1495,49,11/1/08,11,1,2008,D,4,0.103,19,29,UI,N,UI,NA,R,NA,NA,1125,N
61,2,5/17/08,5,17,2008,D,5,0.104,19,31,UI,N,UI,NA,R,NA,NA,NA,N
1546,51,11/8/08,11,8,2008,N,5,0.105,19,26,UI,N,UI,NA,R,NA,NA,NA,Y
402,13,6/1/08,6,1,2008,N,7,0.106,19,31,UI,N,UI,NA,R,NA,NA,206,N
1566,51,11/8/08,11,8,2008,N,7,0.107,19,30,UI,N,UI,NA,R,NA,NA,NA,N
1664,54,11/15/08,11,15,2008,N,9,0.111,19,32,UI,N,UI,NA,R,NA,NA,1192,N
325,11,5/31/08,5,31,2008,N,7,0.112,19,31,UI,N,UI,NA,R,NA,NA,161,Y
1536,50,11/6/08,11,6,2008,N,5,0.115,19,32,UI,N,UI,NA,R,NA,NA,1154,N
1405,45,10/16/08,10,16,2008,N,5,0.115,19,33,UI,N,UI,NA,R,NA,NA,1015,N
436,14,6/4/08,6,4,2008,N,4,0.116,19,32,UI,N,UI,NA,R,NA,NA,237,N
2805,89,5/4/11,5,4,2011,N,4,0.118,19,31,UI,N,UI,NA,R,N,NA,2062,N
2023,65,5/7/09,5,7,2009,N,1,0.137,19,33,UI,N,UI,NA,R,NA,NA,1469,Y
2077,67,5/7/09,5,7,2009,N,1,0.14,19,33,UI,N,UI,NA,R,NA,NA,1489,N
2455,76,5/29/09,5,29,2009,N,5,0.157,19,39,UI,N,UI,NA,R,NA,NA,1755,Y
2454,76,5/29/09,5,29,2009,N,5,0.177,19,41,UI,N,UI,NA,R,NA,NA,1754,N
190,7,5/22/08,5,22,2008,D,3,0.1,20,31,UI,N,UI,NA,R,NA,NA,35,N
86,3,5/21/08,5,21,2008,N,9,0.1,20,31,UI,N,UI,NA,R,NA,NA,NA,N
25,1,5/17/08,5,17,2008,D,4,0.103,20,35,UI,N,UI,NA,R,NA,NA,NA,N
1570,51,11/8/08,11,8,2008,N,7,0.104,20,31,UI,N,UI,NA,R,NA,NA,NA,N
1931,63,4/22/09,4,22,2009,N,9,0.105,20,27,UI,N,UI,NA,R,NA,NA,NA,Y
2162,70,5/9/09,5,9,2009,N,5,0.107,20,29,UI,N,UI,NA,R,NA,NA,NA,N
2238,72,5/14/09,5,14,2009,N,5,0.108,20,32,UI,N,UI,NA,R,NA,NA,1566,Y
1497,49,11/1/08,11,1,2008,D,5,0.113,20,33,UI,N,UI,NA,R,NA,NA,1127,N
2335,75,5/29/09,5,29,2009,N,5,0.115,20,32,UI,N,UI,NA,R,NA,NA,1764,N
553,18,6/4/08,6,4,2008,N,7,0.125,20,35,UI,N,UI,NA,R,NA,NA,308,N
680,22,6/6/08,6,6,2008,N,9,0.126,20,26,UI,N,UI,NA,R,NA,NA,473,Y
60,2,5/17/08,5,17,2008,D,5,0.126,20,34,UI,N,UI,NA,R,NA,NA,NA,N
62,2,5/17/08,5,17,2008,D,5,0.14,20,34,UI,N,UI,NA,R,NA,NA,NA,N
2835,90,5/4/11,5,4,2011,N,3,0.151,20,31,UI,N,UI,NA,R,N,NA,2092,N
714,23,6/11/08,6,11,2008,D,3,0.151,20,34,UI,N,UI,NA,R,NA,NA,505,N
2066,67,5/7/09,5,7,2009,N,1,0.154,20,34,UI,N,UI,NA,R,NA,NA,1478,N
3264,103,6/9/11,6,9,2011,N,3,0.193,20,36,UI,N,UI,NA,R,N,NA,2480,N
2014,65,5/7/09,5,7,2009,N,1,0.105,21,35,UI,N,UI,NA,R,NA,NA,1460,N
2926,93,5/15/11,5,15,2011,N,3,0.125,21,27,UI,N,UI,NA,R,N,NA,2183,Y
3263,103,6/9/11,6,9,2011,N,3,0.127,21,36,UI,N,UI,NA,R,N,NA,2479,N
1496,49,11/1/08,11,1,2008,D,5,0.127,21,35,UI,N,UI,NA,R,NA,NA,1126,N
1856,60,4/21/09,4,21,2009,N,5,0.128,21,26,UI,N,UI,NA,R,NA,NA,1400,N
1809,59,4/21/09,4,21,2009,N,7,0.129,21,34,UI,N,UI,NA,R,NA,NA,1337,N
1654,54,11/15/08,11,15,2008,N,9,0.131,21,33,UI,N,UI,NA,R,NA,NA,1182,N
944,30,6/29/08,6,29,2008,N,5,0.134,21,30,UI,N,UI,NA,R,NA,NA,734,Y
2573,83,6/12/09,6,12,2009,N,5,0.134,21,31,UI,N,UI,NA,R,NA,NA,NA,N
2429,76,5/27/09,5,27,2009,N,9,0.135,21,35,UI,N,UI,NA,R,NA,NA,1650,N
3050,97,5/20/11,5,20,2011,N,3,0.136,21,31,UI,N,UI,NA,R,N,NA,2326,N
1551,51,11/8/08,11,8,2008,N,5,0.136,21,35,UI,N,UI,NA,R,NA,NA,NA,N
2376,77,5/29/09,5,29,2009,N,3,0.138,21,34,UI,N,UI,NA,R,NA,NA,1735,N
2250,72,5/14/09,5,14,2009,N,4,0.141,21,35,UI,N,UI,NA,R,NA,NA,1578,Y
3191,101,6/23/09,6,23,2009,N,5,0.144,21,36,UI,N,UI,NA,R,N,NA,1936,N
203,7,5/22/08,5,22,2008,D,9,0.144,21,35,UI,N,UI,NA,R,NA,NA,48,N
678,22,6/6/08,6,6,2008,N,9,0.144,21,36,UI,N,UI,NA,R,NA,NA,471,N
2161,70,5/9/09,5,9,2009,N,5,0.144,21,38,UI,N,UI,NA,R,NA,NA,NA,N
3082,98,5/20/11,5,20,2011,N,5,0.145,21,36,UI,N,UI,NA,R,N,NA,2358,N
3081,98,5/20/11,5,20,2011,N,5,0.152,21,36,UI,N,UI,NA,R,N,NA,2357,N
3349,106,6/9/11,6,9,2011,N,5,0.157,21,36,UI,N,UI,NA,R,N,NA,2565,N
2775,88,5/4/11,5,4,2011,N,7,0.159,21,35,UI,N,UI,NA,R,N,NA,2032,N
711,23,6/11/08,6,11,2008,D,3,0.174,21,36,UI,N,UI,NA,R,NA,NA,502,N
485,16,6/4/08,6,4,2008,N,9,0.175,21,37,UI,N,UI,NA,R,NA,NA,283,N
848,27,6/17/08,6,17,2008,N,4,0.177,21,37,UI,N,UI,NA,R,NA,NA,638,Y
3265,104,6/9/11,6,9,2011,N,3,0.238,21,45,UI,N,UI,NA,R,N,NA,2481,N
219,8,5/27/08,5,27,2008,D,4,0.438,21,55,UI,N,UI,NA,R,NA,NA,63,N
2307,74,5/28/09,5,28,2009,N,4,0.133,22,36,UI,N,UI,NA,R,NA,NA,1677,N
2599,84,6/12/09,6,12,2009,N,3,0.145,22,33,UI,N,UI,NA,R,NA,NA,NA,N
2195,71,5/14/09,5,14,2009,N,9,0.148,22,36,UI,N,UI,NA,R,NA,NA,1523,N
2285,73,5/27/09,5,27,2009,N,7,0.151,22,36,UI,N,UI,NA,R,NA,NA,1640,N
1500,49,11/1/08,11,1,2008,D,9,0.155,22,38,UI,N,UI,NA,NA,NA,NA,1130,N
3213,102,6/6/11,6,6,2011,D,T2,0.16,22,34,UI,N,UI,NA,R,N,NA,2429,Y
1681,55,11/15/08,11,15,2008,N,7,0.162,22,36,UI,N,UI,NA,R,NA,NA,1209,N
600,19,6/5/08,6,5,2008,N,3,0.185,22,40,UI,N,UI,NA,R,NA,NA,397,N
3059,97,5/20/11,5,20,2011,N,4,0.197,22,33,UI,N,UI,NA,R,N,NA,2335,Y
104,4,5/21/08,5,21,2008,N,4,0.244,22,46,UI,N,UI,NA,R,NA,NA,NA,N
3340,106,6/9/11,6,9,2011,N,5,0.161,23,32,UI,N,UI,NA,R,N,NA,2556,Y
2486,80,6/1/09,6,1,2009,D,9,0.164,23,30,UI,N,UI,NA,R,NA,NA,1802,Y
3378,107,6/22/11,6,22,2011,N,5,0.188,23,40,UI,N,UI,NA,R,N,NA,2594,N
3350,106,6/9/11,6,9,2011,N,5,0.191,23,39,UI,N,UI,NA,R,N,NA,2566,N
2506,81,6/9/09,6,9,2009,N,9,0.202,23,41,UI,N,UI,NA,R,NA,NA,1818,N
1622,53,11/13/08,11,13,2008,N,5,0.303,23,45,UI,N,UI,NA,R,NA,NA,NA,N
959,30,7/18/08,7,18,2008,N,3,0.16,24,31,UI,N,UI,NA,R,NA,NA,749,Y
2294,74,5/28/09,5,28,2009,N,5,0.164,24,39,UI,N,UI,NA,R,NA,NA,1666,N
3295,104,6/9/11,6,9,2011,N,4,0.191,24,42,UI,N,UI,NA,R,N,NA,2511,N
3269,104,6/9/11,6,9,2011,N,3,0.202,24,42,UI,N,UI,NA,R,N,NA,2485,N
3314,105,6/9/11,6,9,2011,N,9,0.21,24,42,UI,N,UI,NA,R,N,NA,2530,N
3287,104,6/9/11,6,9,2011,N,7,0.212,24,42,UI,N,UI,NA,R,N,NA,2503,N
1051,33,9/9/08,9,9,2008,N,5,0.214,24,43,UI,N,UI,NA,R,NA,NA,NA,N
3356,106,6/9/11,6,9,2011,N,5,0.215,24,40,UI,N,UI,NA,R,N,NA,2572,Y
346,11,5/31/08,5,31,2008,N,4,0.342,24,40,UI,N,UI,NA,R,NA,NA,NA,Y
1331,43,10/1/08,10,1,2008,N,NA,0.363,24,30,UI,N,UI,NA,R,NA,NA,NA,N
2336,75,5/29/09,5,29,2009,N,5,0.179,25,42,UI,N,UI,NA,R,NA,NA,1765,N
942,30,6/29/08,6,29,2008,N,5,0.192,25,41,UI,N,UI,NA,R,NA,NA,732,N
3270,104,6/9/11,6,9,2011,N,3,0.201,25,44,UI,N,UI,NA,R,N,NA,2486,N
1990,64,5/5/09,5,5,2009,N,5,0.21,25,34,UI,N,UI,NA,R,NA,NA,1436,Y
3313,105,6/9/11,6,9,2011,N,9,0.215,25,38,UI,N,UI,NA,R,N,NA,2529,Y
3298,105,6/9/11,6,9,2011,N,4,0.216,25,43,UI,N,UI,NA,R,N,NA,2514,N
3327,105,6/9/11,6,9,2011,N,5,0.227,25,37,UI,N,UI,NA,R,N,NA,2543,Y
1534,50,11/6/08,11,6,2008,N,5,0.244,25,42,UI,N,UI,NA,R,NA,NA,1149,N
2683,86,7/8/09,7,8,2009,N,4,0.245,25,44,UI,N,UI,NA,R,NA,NA,1940,Y
1623,53,11/13/08,11,13,2008,N,5,0.245,25,39,UI,N,UI,NA,R,NA,NA,NA,N
2682,86,7/8/09,7,8,2009,N,5,0.246,25,44,UI,N,UI,NA,R,NA,NA,1939,N
1628,53,11/15/08,11,15,2008,N,5,0.288,25,41,UI,N,UI,NA,R,NA,NA,1163,N
793,25,6/16/08,6,16,2008,N,4,0.385,25,45,UI,N,UI,NA,R,NA,NA,584,N
2554,82,6/23/09,6,23,2009,N,3,0.225,26,45,UI,N,UI,NA,R,NA,NA,1915,N
1403,45,10/16/08,10,16,2008,N,5,0.23,26,42,UI,N,UI,NA,R,NA,NA,1013,N
1031,32,8/16/08,8,16,2008,N,4,0.236,26,43,UI,N,UI,NA,R,NA,NA,NA,N
2685,86,7/8/09,7,8,2009,N,4,0.239,26,47,UI,N,UI,NA,R,NA,NA,1942,N
449,15,6/4/08,6,4,2008,N,5,0.255,26,34,UI,N,UI,NA,R,NA,NA,249,Y
1286,41,9/28/08,9,28,2008,N,4,0.26,26,35,UI,N,UI,NA,R,NA,NA,NA,Y
260,9,5/31/08,5,31,2008,N,5,0.268,26,38,UI,N,UI,NA,R,NA,NA,100,Y
3212,102,6/6/11,6,6,2011,D,T2,0.271,26,46,UI,N,UI,NA,R,N,NA,2428,N
571,18,6/5/08,6,5,2008,N,5,0.279,26,45,UI,N,UI,NA,R,NA,NA,368,N
518,17,6/4/08,6,4,2008,N,3,0.282,26,45,UI,N,UI,NA,R,NA,NA,326,N
1185,38,9/12/08,9,12,2008,N,3,0.294,26,52,UI,N,UI,NA,R,NA,NA,NA,N
2020,65,5/7/09,5,7,2009,N,1,0.31,26,47,UI,N,UI,NA,R,NA,NA,1466,Y
1317,43,10/1/08,10,1,2008,N,7,0.363,26,47,UI,N,UI,NA,R,NA,NA,NA,N
2072,67,5/7/09,5,7,2009,N,1,0.132,27,50,UI,N,UI,NA,R,NA,NA,1484,N
1206,39,9/14/08,9,14,2008,N,3,0.216,27,36,UI,N,UI,NA,R,NA,NA,NA,N
975,31,7/31/08,7,31,2008,N,5,0.223,27,48,UI,N,UI,NA,R,NA,NA,765,N
957,30,7/18/08,7,18,2008,N,9,0.228,27,46,UI,N,UI,NA,R,NA,NA,747,N
1395,45,10/16/08,10,16,2008,N,5,0.239,27,40,UI,N,UI,NA,R,NA,NA,1005,N
2418,78,5/29/09,5,29,2009,N,7,0.248,27,40,UI,N,UI,NA,R,NA,NA,1790,N
2022,65,5/7/09,5,7,2009,N,1,0.271,27,46,UI,N,UI,NA,R,NA,NA,1468,N
1148,37,9/12/08,9,12,2008,N,8,0.272,27,43,UI,N,UI,NA,R,NA,NA,NA,N
3189,101,6/23/09,6,23,2009,N,5,0.282,27,46,UI,N,UI,NA,R,N,NA,1934,N
1064,33,9/9/08,9,9,2008,N,3,0.297,27,47,UI,N,UI,NA,R,NA,NA,NA,N
252,9,5/31/08,5,31,2008,N,5,0.302,27,48,UI,N,UI,NA,TAN,NA,NA,NA,N
1367,44,10/9/08,10,9,2008,N,7,0.303,27,40,UI,N,UI,NA,L,NA,NA,NA,Y
1183,38,9/12/08,9,12,2008,N,3,0.303,27,51,UI,N,UI,NA,R,NA,NA,NA,N
1406,45,10/16/08,10,16,2008,N,5,0.306,27,42,UI,N,UI,NA,R,NA,NA,1016,N
1063,33,9/9/08,9,9,2008,N,3,0.306,27,45,UI,N,UI,NA,R,NA,NA,NA,N
1057,33,9/9/08,9,9,2008,N,3,0.316,27,48,UI,N,UI,NA,L,NA,NA,NA,N
2730,87,10/24/09,10,24,2009,N,T,0.321,27,50,UI,N,UI,NA,R,NA,NA,2027,N
759,24,6/15/08,6,15,2008,N,4,0.344,27,47,UI,N,UI,NA,R,NA,NA,550,N
239,8,5/27/08,5,27,2008,N,5,0.348,27,40,UI,N,UI,NA,R,NA,NA,81,Y
365,12,5/31/08,5,31,2008,N,3,0.348,27,47,UI,N,UI,NA,R,NA,NA,192,Y
920,29,6/26/08,6,26,2008,N,5,0.349,27,43,UI,N,UI,NA,R,NA,NA,710,Y
245,8,5/31/08,5,31,2008,N,5,0.364,27,50,UI,N,UI,NA,R,NA,NA,87,N
587,19,6/5/08,6,5,2008,N,3,0.384,27,46,UI,N,UI,NA,R,NA,NA,384,N
1404,45,10/16/08,10,16,2008,N,5,0.248,28,41,UI,N,UI,NA,R,NA,NA,1014,N
2798,89,5/4/11,5,4,2011,N,9,0.267,28,47,UI,N,UI,NA,R,N,NA,2055,N
990,31,8/6/08,8,6,2008,N,3,0.272,28,48,UI,N,UI,NA,R,NA,NA,780,N
1091,34,9/9/08,9,9,2008,N,7,0.272,28,49,UI,N,UI,NA,R,NA,NA,NA,N
2719,87,8/29/09,8,29,2009,N,5,0.273,28,50,UI,N,UI,NA,R,NA,NA,2016,N
2248,72,5/14/09,5,14,2009,N,4,0.274,28,45,UI,N,UI,NA,R,NA,NA,1576,N
1783,58,4/21/09,4,21,2009,N,9,0.277,28,43,UI,N,UI,NA,R,NA,NA,1311,Y
2677,86,7/2/09,7,2,2009,N,9,0.278,28,50,UI,N,UI,NA,R,NA,NA,NA,N
1029,32,8/16/08,8,16,2008,N,4,0.278,28,48,UI,N,UI,NA,R,NA,NA,NA,N
2301,74,5/28/09,5,28,2009,N,5,0.289,28,50,UI,N,UI,NA,R,NA,NA,1672,N
1036,33,9/6/08,9,6,2008,N,9,0.292,28,50,UI,N,UI,NA,R,NA,NA,NA,N
2024,65,5/7/09,5,7,2009,N,1,0.293,28,45,UI,N,UI,NA,R,NA,NA,1470,Y
988,31,8/6/08,8,6,2008,N,4,0.294,28,45,UI,N,UI,NA,R,NA,NA,778,N
172,6,5/22/08,5,22,2008,N,9,0.295,28,48,UI,N,UI,NA,R,NA,NA,18,N
2293,74,5/28/09,5,28,2009,N,5,0.296,28,38,UI,N,UI,NA,R,NA,NA,1665,Y
2017,65,5/7/09,5,7,2009,N,1,0.302,28,37,UI,N,UI,NA,R,NA,NA,1463,Y
52,2,5/17/08,5,17,2008,D,9,0.306,28,40,UI,N,UI,NA,R,NA,NA,NA,Y
193,7,5/22/08,5,22,2008,D,3,0.312,28,53,UI,N,UI,NA,R,NA,NA,38,N
127,5,5/21/08,5,21,2008,N,5,0.315,28,47,UI,N,UI,NA,R,NA,NA,3,N
1141,36,9/9/08,9,9,2008,N,4,0.32,28,49,UI,N,UI,NA,R,NA,NA,NA,N
1352,44,10/9/08,10,9,2008,N,4,0.322,28,54,UI,N,UI,NA,R,NA,NA,NA,N
1306,42,9/28/08,9,28,2008,N,5,0.329,28,43,UI,N,UI,NA,R,NA,NA,NA,N
393,13,5/31/08,5,31,2008,N,4,0.33,28,46,UI,N,UI,NA,R,NA,NA,NA,Y
1030,32,8/16/08,8,16,2008,N,4,0.338,28,51,UI,N,UI,NA,R,NA,NA,NA,N
517,17,6/4/08,6,4,2008,N,3,0.339,28,43,UI,N,UI,NA,R,NA,NA,325,N
228,8,5/27/08,5,27,2008,N,4,0.345,28,47,UI,N,UI,NA,R,NA,NA,71,N
450,15,6/4/08,6,4,2008,N,5,0.346,28,42,UI,N,UI,NA,R,NA,NA,250,N
762,24,6/15/08,6,15,2008,N,4,0.361,28,52,UI,N,UI,NA,R,NA,NA,553,N
338,11,5/31/08,5,31,2008,N,4,0.361,28,51,UI,N,UI,NA,R,NA,NA,NA,N
565,18,6/5/08,6,5,2008,N,5,0.367,28,47,UI,N,UI,NA,L,NA,NA,362,N
621,20,6/6/08,6,6,2008,D,3,0.368,28,44,UI,N,UI,NA,R,NA,NA,416,N
869,27,6/20/08,6,20,2008,N,5,0.377,28,45,UI,N,UI,NA,R,NA,NA,659,Y
225,8,5/27/08,5,27,2008,D,7,0.378,28,55,UI,N,UI,NA,R,NA,NA,69,N
258,9,5/31/08,5,31,2008,N,5,0.389,28,57,UI,N,UI,NA,R,NA,NA,98,N
492,16,6/4/08,6,4,2008,N,9,0.408,28,54,UI,N,UI,NA,R,NA,NA,290,N
307,10,5/31/08,5,31,2008,N,7,0.417,28,56,UI,N,UI,NA,R,NA,NA,143,N
588,19,6/5/08,6,5,2008,N,3,0.452,28,54,UI,N,UI,NA,R,NA,NA,385,N
1089,34,9/9/08,9,9,2008,N,7,0.727,36,71,X,D,NG,NA,BLOTCHY,NA,NA,NA,N
1134,36,9/9/08,9,9,2008,N,4,0.822,36,67,X,D,NG,NA,R,NA,NA,NA,Y
1333,43,10/1/08,10,1,2008,N,NA,0.85,36,76,X,D,NG,NA,R,NA,NA,NA,N
1346,44,10/9/08,10,9,2008,N,4,0.536,37,71,X,D,NG,NA,R,NA,NA,NA,N
1136,36,9/9/08,9,9,2008,N,4,0.69,37,41,X,D,NG,NA,R,NA,NA,NA,Y
1505,49,11/6/08,11,6,2008,N,4,0.807,37,75,X,D,NG,6,R,NA,NA,1105,N
1182,38,9/12/08,9,12,2008,N,3,1.003,37,80,X,D,NG,NA,R,NA,NA,NA,N
1260,41,9/26/08,9,26,2008,N,5,0.728,38,79,X,D,NG,NA,R,NA,NA,NA,N
1128,36,9/9/08,9,9,2008,N,4,0.759,38,75,X,D,NG,NA,R,NA,NA,NA,N
1165,37,9/12/08,9,12,2008,N,4,0.8,38,78,X,D,NG,NA,R,NA,NA,NA,N
1614,53,11/8/08,11,8,2008,N,4,0.829,38,70,X,D,NG,6,R,NA,NA,NA,Y
1042,33,9/6/08,9,6,2008,N,5,0.833,38,73,X,D,NG,NA,R,NA,NA,NA,N
1371,44,10/9/08,10,9,2008,N,9,0.734,39,76,X,D,NG,NA,R,NA,NA,NA,N
1139,36,9/9/08,9,9,2008,N,4,0.816,39,74,X,D,NG,NA,R,NA,NA,NA,N
1161,37,9/12/08,9,12,2008,N,4,0.86,39,77,X,D,NG,NA,R,NA,NA,NA,N
1173,37,9/12/08,9,12,2008,N,5,1.069,39,84,X,D,NG,NA,R,NA,NA,NA,N
1105,35,9/9/08,9,9,2008,N,9,0.661,40,57,X,D,NG,NA,R,NA,NA,NA,N
1457,47,10/28/08,10,28,2008,N,5,0.793,40,75,X,D,NG,NA,R,NA,NA,1082,N
1188,38,9/12/08,9,12,2008,N,3,0.88,40,74,X,D,NG,NA,R,NA,NA,NA,Y
1056,33,9/9/08,9,9,2008,N,3,0.916,40,71,X,D,NG,NA,R,NA,NA,NA,Y
1066,34,9/9/08,9,9,2008,N,7,0.582,41,75,X,D,NG,NA,R,NA,NA,NA,N
1125,36,9/9/08,9,9,2008,N,9,0.742,41,68,X,D,NG,NA,R,NA,NA,NA,Y
1159,37,9/12/08,9,12,2008,N,4,0.756,41,72,X,D,NG,NA,R,NA,NA,NA,N
1223,39,9/14/08,9,14,2008,N,4,0.791,41,78,X,D,NG,NA,R,NA,NA,NA,N
1274,41,9/27/08,9,27,2008,N,5,0.85,41,86,X,D,NG,NA,R,NA,NA,NA,N
1131,36,9/9/08,9,9,2008,N,4,0.854,41,77,X,D,NG,NA,R,NA,NA,NA,N
1216,39,9/14/08,9,14,2008,N,4,0.99,41,82,X,D,NG,NA,R,NA,NA,NA,N
1058,33,9/9/08,9,9,2008,N,3,0.999,41,78,X,D,NG,NA,R,NA,NA,NA,N
1313,43,9/28/08,9,28,2008,N,3,1.044,41,79,X,D,NG,NA,R,NA,NA,NA,N
1631,53,11/15/08,11,15,2008,N,5,1.178,41,77,X,D,NG,6,R,NA,NA,1166,N
1276,41,9/27/08,9,27,2008,N,7,1.197,41,85,X,D,NG,NA,R,NA,NA,NA,N
1337,43,10/9/08,10,9,2008,N,3,1.224,41,91,X,D,NG,NA,R,NA,NA,NA,N
1336,43,10/9/08,10,9,2008,N,3,0.695,42,79,X,D,NG,NA,R,NA,NA,NA,N
1354,44,10/9/08,10,9,2008,N,4,0.71,42,77,X,D,NG,NA,TAN,NA,NA,NA,N
1067,34,9/9/08,9,9,2008,N,7,0.838,42,75,X,D,NG,NA,R,NA,NA,NA,N
1045,33,9/9/08,9,9,2008,N,5,0.891,42,86,X,D,NG,NA,R,NA,NA,NA,N
1380,45,10/9/08,10,9,2008,N,5,0.957,42,77,X,D,NG,NA,R,NA,NA,NA,N
1607,52,11/8/08,11,8,2008,N,5,1.025,42,74,X,D,NG,9,L,NA,NA,NA,Y
1624,53,11/13/08,11,13,2008,N,5,1.047,42,83,X,D,NG,8,R,NA,NA,NA,N
1326,43,10/1/08,10,1,2008,N,7,1.071,42,78,X,D,NG,NA,R,NA,NA,NA,N
1334,43,10/9/08,10,9,2008,N,3,1.096,42,82,X,D,NG,NA,L,NA,NA,NA,N
1545,51,11/8/08,11,8,2008,N,5,1.147,42,78,X,D,NG,NA,R,NA,NA,NA,N
1316,43,9/28/08,9,28,2008,N,3,1.379,42,84,X,D,NG,NA,R,NA,NA,NA,N
1600,52,11/8/08,11,8,2008,N,3,1.52,42,78,X,D,NG,NA,R,NA,NA,NA,N
1203,39,9/14/08,9,14,2008,N,1,0.657,43,69,X,D,NG,NA,R,NA,NA,NA,N
1339,43,10/9/08,10,9,2008,N,3,0.814,43,81,X,D,NG,NA,R,NA,NA,NA,N
1169,37,9/12/08,9,12,2008,N,5,0.848,43,86,X,D,NG,NA,R,NA,NA,NA,N
1233,40,9/14/08,9,14,2008,N,9,0.885,43,70,X,D,NG,NA,R,NA,NA,NA,Y
1379,45,10/9/08,10,9,2008,N,5,0.904,43,79,X,D,NG,NA,R,NA,NA,NA,N
1342,43,10/9/08,10,9,2008,N,3,0.924,43,53,X,D,NG,NA,R,NA,NA,NA,Y
1524,50,11/6/08,11,6,2008,N,7,0.943,43,77,X,D,NG,6,R,NA,NA,1135,Y
1364,44,10/9/08,10,9,2008,N,7,0.948,43,83,X,D,NG,NA,R,NA,NA,NA,N
1242,40,9/27/08,9,27,2008,N,9,0.963,43,72,X,D,NG,NA,R,NA,NA,NA,Y
1212,39,9/14/08,9,14,2008,N,3,0.978,43,93,X,D,NG,NA,R,NA,NA,NA,N
1299,42,9/28/08,9,28,2008,N,5,0.994,43,77,X,D,NG,NA,R,NA,NA,NA,N
1095,34,9/9/08,9,9,2008,N,4,1.005,43,76,X,D,NG,NA,R,NA,NA,NA,N
1110,35,9/9/08,9,9,2008,N,9,1.047,43,83,X,D,NG,NA,R,NA,NA,NA,N
1265,41,9/26/08,9,26,2008,N,3,1.1,43,82,X,D,NG,NA,L,NA,NA,NA,N
1389,45,10/9/08,10,9,2008,N,5,1.103,43,89,X,D,NG,NA,R,NA,NA,NA,N
1418,46,10/16/08,10,16,2008,N,7,1.11,43,77,X,D,NG,7,R,NA,NA,1028,Y
1224,39,9/14/08,9,14,2008,N,4,1.199,43,78,X,D,NG,NA,R,NA,NA,NA,Y
1401,45,10/16/08,10,16,2008,N,5,0.873,44,73,X,D,NG,NA,R,NA,NA,1011,Y
1360,44,10/9/08,10,9,2008,N,7,0.917,44,86,X,D,NG,NA,R,NA,NA,NA,N
1617,53,11/8/08,11,8,2008,N,4,0.957,44,55,X,D,NG,7,R,NA,NA,NA,Y
1343,43,10/9/08,10,9,2008,N,3,0.958,44,76,X,D,NG,NA,R,NA,NA,NA,N
1311,42,9/28/08,9,28,2008,N,5,0.965,44,77,X,D,NG,NA,R,NA,NA,NA,N
1365,44,10/9/08,10,9,2008,N,7,0.983,44,79,X,D,NG,NA,R,NA,NA,NA,N
1192,39,9/14/08,9,14,2008,N,1,1.007,44,85,X,D,NG,NA,R,NA,NA,NA,N
2672,86,7/2/09,7,2,2009,N,3,1.009,44,85,X,D,NG,NA,R,NA,NA,NA,N
1034,33,9/6/08,9,6,2008,N,9,1.065,44,81,X,D,NG,NA,R,NA,NA,NA,Y
1099,35,9/9/08,9,9,2008,N,3,1.08,44,81,X,D,NG,NA,R,NA,NA,NA,N
1587,52,11/8/08,11,8,2008,N,9,1.087,44,72,X,D,NG,10,R,NA,NA,NA,N
1114,35,9/9/08,9,9,2008,N,9,1.128,44,77,X,D,NG,NA,R,NA,NA,NA,N
1211,39,9/14/08,9,14,2008,N,3,1.14,44,82,X,D,NG,NA,L,NA,NA,NA,N
